Mstar (Msun),Age log(years),Age (Myr),Teff (K),log(L/Lsun),logg (g/cm^3),Rstar (Rsun)
0.15,9.222316,1668.460771,3130,-2.581,5.131,0.174
0.15,9.230487,1700.149061,3130,-2.581,5.131,0.174
0.15,9.238508,1731.840932,3130,-2.581,5.131,0.174
0.15,9.246383,1763.530601,3130,-2.581,5.131,0.174
0.15,9.254115,1795.20893,3130,-2.581,5.131,0.174
0.15,9.261715,1826.900943,3130,-2.581,5.131,0.174
0.15,9.269184,1858.591728,3130,-2.581,5.131,0.174
0.15,9.276526,1890.279394,3130,-2.581,5.131,0.174
0.15,9.283747,1921.97175,3130,-2.581,5.131,0.174
0.15,9.290847,1953.651072,3130,-2.581,5.131,0.174
0.15,9.297835,1985.340491,3130,-2.581,5.131,0.174
0.15,9.304712,2017.028339,3130,-2.581,5.131,0.174
0.15,9.311483,2048.721853,3130,-2.581,5.131,0.174
0.15,9.318149,2080.410323,3130,-2.581,5.131,0.174
0.15,9.324714,2112.097682,3130,-2.581,5.131,0.174
0.15,9.33118,2143.778939,3130,-2.581,5.131,0.174
0.15,9.337553,2175.469506,3130,-2.581,5.131,0.174
0.15,9.343834,2207.160931,3130,-2.581,5.131,0.174
0.15,9.350025,2238.850013,3130,-2.581,5.131,0.174
0.15,9.356129,2270.539178,3130,-2.581,5.131,0.174
0.15,9.362147,2302.220941,3130,-2.581,5.131,0.174
0.15,9.368084,2333.909437,3130,-2.581,5.131,0.174
0.15,9.373941,2365.598303,3130,-2.581,5.131,0.174
0.15,9.379721,2397.292353,3130,-2.581,5.13,0.174
0.15,9.385424,2428.980342,3130,-2.581,5.13,0.174
0.15,9.391052,2460.662212,3130,-2.581,5.13,0.174
0.15,9.396609,2492.349827,3130,-2.581,5.13,0.174
0.15,9.402096,2524.038645,3130,-2.581,5.13,0.174
0.15,9.407515,2555.730171,3130,-2.581,5.13,0.174
0.15,9.412867,2587.420412,3130,-2.581,5.13,0.174
0.15,9.418152,2619.099514,3131,-2.581,5.13,0.174
0.15,9.423375,2650.788025,3131,-2.581,5.13,0.174
0.15,9.428536,2682.476957,3131,-2.581,5.13,0.174
0.15,9.433637,2714.169713,3131,-2.581,5.13,0.174
0.15,9.438678,2745.85753,3131,-2.581,5.13,0.174
0.15,9.44366,2777.53794,3131,-2.581,5.13,0.174
0.15,9.448587,2809.228075,3131,-2.581,5.13,0.174
0.15,9.453459,2840.919972,3131,-2.581,5.13,0.174
0.15,9.458277,2872.612196,3131,-2.581,5.13,0.174
