Mstar (Msun),Age log(years),Age (Myr),Teff (K),log(L/Lsun),logg (g/cm^3),Rstar (Rsun)
0.07,6.331585,2.145779046,2902,-1.458,3.546,0.739
0.07,6.339141,2.183438682,2903,-1.46,3.547,0.737
0.07,6.346374,2.22010748,2903,-1.461,3.549,0.736
0.07,6.353304,2.2558177,2903,-1.463,3.551,0.735
0.07,6.359949,2.290598648,2903,-1.465,3.552,0.733
0.07,6.366326,2.324480996,2903,-1.466,3.554,0.732
0.07,6.372448,2.357479908,2903,-1.468,3.556,0.73
0.07,6.378329,2.389620856,2903,-1.469,3.557,0.729
0.07,6.383986,2.420951003,2903,-1.471,3.559,0.728
0.07,6.389427,2.451472354,2903,-1.472,3.56,0.726
0.07,6.394664,2.481212726,2904,-1.474,3.562,0.725
0.07,6.399708,2.51019812,2904,-1.475,3.564,0.724
0.07,6.40457,2.538458104,2904,-1.477,3.565,0.722
0.07,6.409258,2.566007964,2904,-1.479,3.567,0.721
0.07,6.413781,2.592871535,2904,-1.48,3.568,0.72
0.07,6.418145,2.6190573,2904,-1.482,3.57,0.718
0.07,6.42236,2.644600039,2904,-1.483,3.572,0.717
0.07,6.426433,2.6695189,2904,-1.485,3.573,0.716
0.07,6.430369,2.693822649,2904,-1.486,3.575,0.715
0.07,6.434174,2.717527828,2904,-1.488,3.576,0.713
0.07,6.437855,2.740658982,2904,-1.489,3.578,0.712
0.07,6.441417,2.763229775,2905,-1.49,3.579,0.711
0.07,6.451443,2.82776295,2905,-1.495,3.584,0.707
0.07,6.46057,2.887819203,2905,-1.499,3.588,0.703
0.07,6.471525,2.961590443,2905,-1.505,3.594,0.699
0.07,6.481284,3.028893478,2906,-1.51,3.6,0.694
0.07,6.490019,3.090430633,2906,-1.515,3.605,0.69
0.07,6.499713,3.160188585,2907,-1.522,3.612,0.685
0.07,6.509849,3.234811661,2907,-1.529,3.62,0.679
0.07,6.519991,3.311242594,2908,-1.537,3.628,0.672
0.07,6.529819,3.387029662,2908,-1.546,3.637,0.665
0.07,6.539125,3.460389615,2909,-1.556,3.647,0.658
0.07,6.549355,3.542868231,2910,-1.567,3.658,0.649
0.07,6.559002,3.622446666,2910,-1.578,3.671,0.64
0.07,6.569375,3.710009315,2911,-1.592,3.685,0.629
0.07,6.579164,3.794582504,2912,-1.606,3.699,0.619
0.07,6.58907,3.882129335,2913,-1.62,3.714,0.609
0.07,6.600236,3.983235648,2914,-1.636,3.731,0.597
0.07,6.610519,4.078674052,2915,-1.651,3.746,0.587
0.07,6.620091,4.169567415,2916,-1.664,3.76,0.577
0.07,6.629848,4.264302451,2917,-1.677,3.774,0.568
0.07,6.6398,4.363148556,2919,-1.69,3.788,0.559
0.07,6.649957,4.466393677,2920,-1.703,3.801,0.55
0.07,6.660326,4.574314284,2922,-1.716,3.815,0.542
0.07,6.670918,4.687248729,2923,-1.729,3.829,0.533
0.07,6.681738,4.805493565,2925,-1.742,3.843,0.525
0.07,6.68908,4.887423807,2926,-1.751,3.852,0.519
0.07,6.700286,5.015173938,2928,-1.764,3.866,0.511
0.07,6.711723,5.149001282,2930,-1.776,3.88,0.503
0.07,6.719476,5.241746332,2931,-1.785,3.889,0.497
0.07,6.731296,5.386367735,2933,-1.798,3.903,0.489
0.07,6.7393,5.486558321,2935,-1.806,3.913,0.484
0.07,6.751488,5.642713497,2937,-1.819,3.927,0.476
0.07,6.759727,5.750783262,2938,-1.827,3.936,0.471
0.07,6.772252,5.919049883,2940,-1.84,3.95,0.464
0.07,6.780708,6.035426981,2942,-1.848,3.959,0.459
0.07,6.789246,6.155254297,2943,-1.857,3.968,0.454
0.07,6.802197,6.341573057,2945,-1.869,3.982,0.447
0.07,6.810927,6.470338475,2947,-1.878,3.992,0.442
0.07,6.819729,6.602813035,2948,-1.886,4.001,0.437
0.07,6.833076,6.808885014,2948,-1.9,4.015,0.43
0.07,6.84208,6.951523576,2948,-1.909,4.024,0.426
0.07,6.851166,7.098490411,2948,-1.919,4.033,0.421
0.07,6.860336,7.249966503,2948,-1.928,4.042,0.417
0.07,6.869591,7.406124356,2948,-1.937,4.052,0.413
0.07,6.883632,7.649481524,2948,-1.951,4.065,0.406
0.07,6.893097,7.818024012,2948,-1.96,4.075,0.402
0.07,6.90264,7.991715226,2948,-1.969,4.084,0.398
0.07,6.912266,8.170826712,2948,-1.979,4.093,0.393
0.07,6.921973,8.355510706,2947,-1.988,4.102,0.389
0.07,6.931764,8.546021872,2947,-1.997,4.111,0.385
0.07,6.941642,8.74262801,2947,-2.006,4.12,0.381
0.07,6.951606,8.945528424,2947,-2.016,4.129,0.377
0.07,6.96166,9.155034811,2947,-2.025,4.139,0.373
0.07,6.971802,9.371346587,2946,-2.034,4.148,0.369
0.07,6.982033,9.594735346,2946,-2.043,4.157,0.366
0.07,6.992352,9.825439821,2946,-2.053,4.166,0.362
0.07,7.002758,10.06370737,2946,-2.062,4.175,0.358
0.07,7.013238,10.30950943,2946,-2.071,4.184,0.354
0.07,7.0238,10.56330939,2945,-2.08,4.193,0.35
0.07,7.029108,10.69320764,2945,-2.085,4.198,0.349
0.07,7.039787,10.9594056,2945,-2.094,4.207,0.345
0.07,7.050542,11.23419609,2945,-2.104,4.216,0.341
0.07,7.061373,11.51789195,2945,-2.113,4.225,0.338
0.07,7.072279,11.81079142,2945,-2.122,4.235,0.334
0.07,7.083259,12.11320313,2945,-2.131,4.244,0.331
0.07,7.094296,12.42498863,2944,-2.141,4.253,0.327
0.07,7.099839,12.58458794,2944,-2.145,4.258,0.325
0.07,7.11097,12.91130082,2944,-2.154,4.267,0.322
0.07,7.12216,13.24829531,2944,-2.164,4.276,0.319
0.07,7.133405,13.59580728,2944,-2.173,4.285,0.315
0.07,7.139047,13.77358521,2944,-2.178,4.29,0.314
0.07,7.150376,14.1376101,2944,-2.187,4.299,0.31
0.07,7.161754,14.51289322,2944,-2.196,4.308,0.307
0.07,7.173186,14.89999079,2943,-2.205,4.317,0.304
0.07,7.184672,15.29931548,2943,-2.215,4.326,0.301
0.07,7.190433,15.50361589,2943,-2.219,4.331,0.299
0.07,7.201995,15.92190396,2943,-2.228,4.34,0.296
0.07,7.213608,16.35339776,2942,-2.238,4.349,0.293
0.07,7.219433,16.57421621,2942,-2.242,4.354,0.291
0.07,7.23112,17.02628897,2942,-2.252,4.363,0.288
0.07,7.242859,17.49278668,2942,-2.261,4.372,0.285
0.07,7.254647,17.97409364,2941,-2.27,4.381,0.282
0.07,7.260558,18.2204039,2941,-2.275,4.386,0.281
0.07,7.272417,18.72479191,2941,-2.284,4.395,0.278
0.07,7.284325,19.24531394,2940,-2.294,4.404,0.275
0.07,7.290295,19.51169506,2940,-2.298,4.408,0.274
0.07,7.30221,20.0544151,2940,-2.308,4.417,0.271
0.07,7.314232,20.61730995,2939,-2.317,4.426,0.268
0.07,7.320258,20.90537681,2939,-2.322,4.431,0.267
0.07,7.332344,21.49532422,2938,-2.331,4.44,0.264
0.07,7.344479,22.10441369,2938,-2.341,4.449,0.261
0.07,7.350564,22.4163036,2938,-2.345,4.454,0.26
0.07,7.362767,23.05509945,2937,-2.355,4.463,0.257
0.07,7.375023,23.71499296,2936,-2.364,4.472,0.254
0.07,7.381169,24.05298608,2936,-2.369,4.476,0.253
0.07,7.393501,24.74577159,2935,-2.378,4.485,0.25
0.07,7.399684,25.10059405,2935,-2.383,4.49,0.249
0.07,7.412091,25.82801322,2934,-2.392,4.499,0.247
0.07,7.424552,26.57981782,2933,-2.402,4.508,0.244
0.07,7.430805,26.96528408,2932,-2.408,4.513,0.243
0.07,7.443305,27.75268459,2930,-2.418,4.522,0.24
0.07,7.449603,28.15807751,2929,-2.423,4.526,0.239
0.07,7.462242,28.98958512,2928,-2.433,4.535,0.236
0.07,7.474937,29.84949582,2926,-2.443,4.544,0.234
0.07,7.481305,30.29039941,2925,-2.448,4.549,0.233
0.07,7.494078,31.19449792,2923,-2.458,4.558,0.23
0.07,7.500483,31.65796539,2922,-2.463,4.562,0.229
0.07,7.513329,32.60836323,2920,-2.474,4.571,0.227
0.07,7.519769,33.09550406,2919,-2.479,4.576,0.226
0.07,7.532687,34.09470994,2917,-2.489,4.585,0.223
0.07,7.539164,34.60700375,2916,-2.494,4.589,0.222
0.07,7.552151,35.65750896,2913,-2.504,4.598,0.22
0.07,7.565126,36.7388874,2911,-2.515,4.607,0.218
0.07,7.57166,37.29580625,2910,-2.52,4.612,0.216
0.07,7.584761,38.43801926,2908,-2.53,4.621,0.214
0.07,7.591328,39.02366008,2906,-2.535,4.625,0.213
0.07,7.604498,40.22518036,2904,-2.546,4.634,0.211
0.07,7.611101,40.84143566,2903,-2.551,4.639,0.21
0.07,7.624342,42.10580744,2900,-2.562,4.648,0.208
0.07,7.630982,42.75451655,2899,-2.567,4.652,0.207
0.07,7.644303,44.08623385,2896,-2.578,4.661,0.205
0.07,7.650983,44.76957793,2894,-2.583,4.666,0.203
0.07,7.664388,46.17299012,2892,-2.594,4.674,0.201
0.07,7.671112,46.89342998,2890,-2.599,4.679,0.2
0.07,7.684601,48.37277475,2887,-2.61,4.688,0.198
0.07,7.691367,49.13228926,2886,-2.615,4.692,0.197
0.07,7.704942,50.69230042,2882,-2.626,4.701,0.195
0.07,7.711751,51.49333262,2881,-2.631,4.706,0.194
0.07,7.725413,53.13895383,2878,-2.642,4.715,0.192
0.07,7.732265,53.98399243,2876,-2.648,4.719,0.191
0.07,7.73913,54.84411086,2874,-2.653,4.724,0.19
0.07,7.752902,56.61115297,2871,-2.664,4.733,0.188
0.07,7.75981,57.51882425,2870,-2.669,4.737,0.187
0.07,7.773661,59.38284492,2866,-2.68,4.746,0.185
0.07,7.780605,60.33995751,2864,-2.686,4.75,0.185
0.07,7.794528,62.30573161,2861,-2.697,4.759,0.183
0.07,7.801507,63.31505668,2859,-2.703,4.764,0.182
0.07,7.815495,65.38754019,2855,-2.714,4.773,0.18
0.07,7.822505,66.45153234,2853,-2.719,4.777,0.179
0.07,7.829524,67.53423738,2851,-2.725,4.782,0.178
0.07,7.843579,69.75558737,2847,-2.736,4.791,0.176
0.07,7.850616,70.89506418,2845,-2.742,4.795,0.175
0.07,7.863387,73.01078199,2842,-2.752,4.803,0.174
0.07,7.869026,73.96495545,2840,-2.757,4.807,0.173
0.07,7.879162,75.71152606,2837,-2.765,4.813,0.172
0.07,7.892189,78.01695575,2833,-2.776,4.821,0.17
0.07,7.89978,79.39259548,2830,-2.782,4.826,0.169
0.07,7.909924,81.26882861,2827,-2.79,4.832,0.168
0.07,7.921672,83.49721691,2823,-2.8,4.839,0.167
0.07,7.929458,85.00764795,2821,-2.806,4.844,0.166
0.07,7.940948,87.28668499,2817,-2.816,4.851,0.164
0.07,7.949084,88.93731212,2814,-2.823,4.856,0.163
0.07,7.959936,91.18764504,2810,-2.832,4.863,0.162
0.07,7.969517,93.22169603,2807,-2.84,4.869,0.161
0.07,7.97945,95.37839281,2803,-2.848,4.875,0.16
0.07,7.98952,97.61577351,2799,-2.857,4.881,0.159
0.07,7.999576,99.90241803,2794,-2.866,4.887,0.158
0.07,8.009515,102.2150864,2790,-2.875,4.893,0.157
0.07,8.01927,104.5369922,2785,-2.883,4.899,0.156
0.07,8.02955,107.0409611,2780,-2.893,4.905,0.154
0.07,8.039426,109.5029956,2776,-2.901,4.911,0.153
0.07,8.049524,112.0789362,2771,-2.91,4.917,0.152
0.07,8.059143,114.5890186,2766,-2.919,4.923,0.151
0.07,8.069302,117.3010771,2762,-2.928,4.929,0.15
0.07,8.079319,120.0380689,2757,-2.937,4.935,0.149
0.07,8.089149,122.786042,2752,-2.945,4.94,0.148
0.07,8.099107,125.6339458,2748,-2.954,4.946,0.147
0.07,8.109082,128.552936,2743,-2.963,4.952,0.146
0.07,8.118982,131.5170322,2738,-2.972,4.958,0.145
0.07,8.129013,134.5900641,2733,-2.98,4.963,0.144
0.07,8.139057,137.7390236,2728,-2.989,4.969,0.143
0.07,8.149034,140.9399133,2723,-2.998,4.975,0.143
0.07,8.159083,144.2390987,2719,-3.007,4.981,0.142
0.07,8.169107,147.6070158,2714,-3.016,4.986,0.141
0.07,8.179046,151.0240109,2709,-3.025,4.992,0.14
0.07,8.188996,154.5240207,2704,-3.033,4.998,0.139
0.07,8.199023,158.1331784,2698,-3.042,5.003,0.138
0.07,8.20904,161.8229075,2693,-3.051,5.009,0.137
0.07,8.218992,165.5739463,2687,-3.061,5.014,0.136
0.07,8.229031,169.4458747,2682,-3.07,5.02,0.135
0.07,8.238986,173.3748107,2676,-3.079,5.025,0.135
0.07,8.249115,177.4659344,2670,-3.088,5.031,0.134
0.07,8.259173,181.6239012,2664,-3.097,5.036,0.133
0.07,8.270791,186.548173,2657,-3.108,5.042,0.132
0.07,8.280424,190.732192,2652,-3.117,5.048,0.131
0.07,8.293932,196.757819,2644,-3.129,5.055,0.13
0.07,8.301635,200.2788089,2639,-3.136,5.059,0.129
0.07,8.309368,203.8768899,2635,-3.143,5.063,0.129
0.07,8.324916,211.3080294,2625,-3.158,5.071,0.128
0.07,8.332727,215.1428909,2621,-3.165,5.075,0.127
0.07,8.340571,219.0639932,2616,-3.172,5.079,0.126
0.07,8.356361,227.1752423,2606,-3.187,5.087,0.125
0.07,8.364298,231.3651805,2601,-3.194,5.091,0.125
0.07,8.372275,235.6540999,2596,-3.201,5.095,0.124
0.07,8.380296,240.0468437,2591,-3.209,5.099,0.124
0.07,8.396456,249.1471938,2579,-3.225,5.107,0.122
0.07,8.404608,253.8680224,2574,-3.233,5.111,0.122
0.07,8.412807,258.7062972,2568,-3.24,5.115,0.121
0.07,8.421049,263.6628851,2562,-3.248,5.119,0.121
0.07,8.429336,268.7422816,2556,-3.257,5.123,0.12
0.07,8.446031,279.2743181,2544,-3.273,5.131,0.119
0.07,8.45443,284.7278836,2538,-3.281,5.135,0.118
0.07,8.462875,290.318693,2532,-3.289,5.139,0.118
0.07,8.471377,296.0581357,2525,-3.298,5.143,0.117
0.07,8.479921,301.9402428,2519,-3.306,5.147,0.117
0.07,8.497126,314.1419968,2506,-3.323,5.155,0.116
0.07,8.505791,320.472671,2499,-3.332,5.159,0.115
0.07,8.514501,326.9647997,2492,-3.341,5.163,0.115
0.07,8.523259,333.6253174,2485,-3.349,5.167,0.114
0.07,8.532067,340.4607096,2478,-3.358,5.171,0.114
0.07,8.54093,347.4801497,2471,-3.367,5.175,0.113
0.07,8.549848,354.6892288,2464,-3.376,5.179,0.113
0.07,8.567859,369.7081292,2449,-3.395,5.187,0.112
0.07,8.576956,377.5339396,2442,-3.404,5.191,0.111
0.07,8.586116,385.5813326,2434,-3.413,5.195,0.111
0.07,8.595341,393.859205,2426,-3.423,5.199,0.11
0.07,8.60463,402.374083,2419,-3.432,5.203,0.11
0.07,8.61399,411.1402541,2411,-3.441,5.207,0.109
0.07,8.623418,420.1631883,2403,-3.451,5.21,0.109
0.07,8.63292,429.4573105,2395,-3.461,5.214,0.108
0.07,8.642498,439.0338438,2386,-3.471,5.218,0.108
0.07,8.652154,448.9045424,2378,-3.481,5.222,0.107
0.07,8.661891,459.082777,2370,-3.491,5.226,0.107
0.07,8.671707,469.577198,2361,-3.501,5.23,0.106
0.07,8.681598,480.3944706,2353,-3.511,5.233,0.106
0.07,8.691546,491.5254393,2344,-3.521,5.237,0.105
0.07,8.701536,502.9629563,2335,-3.531,5.241,0.105
0.07,8.71157,514.7187632,2327,-3.541,5.245,0.104
0.07,8.721645,526.7990705,2318,-3.551,5.248,0.104
0.07,8.731764,539.2175266,2309,-3.562,5.252,0.104
0.07,8.741926,551.9833781,2301,-3.572,5.256,0.103
0.07,8.752134,565.111311,2292,-3.582,5.259,0.103
0.07,8.762363,578.5794443,2283,-3.592,5.263,0.102
0.07,8.772638,592.431306,2274,-3.603,5.266,0.102
0.07,8.782962,606.6832436,2266,-3.613,5.27,0.101
0.07,8.793331,621.3424135,2257,-3.623,5.273,0.101
0.07,8.803747,636.4246611,2248,-3.634,5.277,0.101
0.07,8.814205,651.9360548,2239,-3.644,5.28,0.1
0.07,8.824705,667.8900907,2230,-3.654,5.284,0.1
0.07,8.835241,684.2912709,2221,-3.665,5.287,0.099
0.07,8.845805,701.1404128,2212,-3.675,5.291,0.099
0.07,8.856404,718.462326,2203,-3.686,5.294,0.099
0.07,8.867034,736.2647359,2191,-3.698,5.297,0.098
0.07,8.877762,754.678539,2177,-3.712,5.3,0.098
0.07,8.888629,773.8004893,2164,-3.726,5.303,0.098
0.07,8.899639,793.6682371,2150,-3.74,5.307,0.097
0.07,8.910794,814.3179349,2136,-3.755,5.31,0.097
0.07,8.9221,835.7954451,2122,-3.769,5.313,0.097
0.07,8.933564,858.1515673,2108,-3.783,5.316,0.096
0.07,8.945191,881.436438,2096,-3.797,5.319,0.096
0.07,8.956952,905.6325012,2086,-3.808,5.321,0.096
0.07,8.968778,930.6320391,2076,-3.819,5.324,0.095
0.07,8.980639,956.3987504,2067,-3.83,5.327,0.095
0.07,8.992536,982.9603502,2057,-3.841,5.33,0.095
0.07,9.004476,1010.359664,2047,-3.852,5.333,0.094
0.07,9.016461,1038.630328,2037,-3.863,5.336,0.094
0.07,9.028498,1067.819875,2027,-3.874,5.338,0.094
0.07,9.04059,1097.968802,2018,-3.885,5.341,0.093
0.07,9.05274,1129.11974,2008,-3.896,5.344,0.093
0.07,9.064761,1160.809624,1988,-3.917,5.346,0.093
0.07,9.076458,1192.498935,1923,-3.976,5.348,0.093
0.07,9.087849,1224.190486,1883,-4.014,5.35,0.093
0.07,9.098948,1255.879583,1859,-4.038,5.351,0.092
0.07,9.109767,1287.558588,1837,-4.06,5.352,0.092
0.07,9.120327,1319.249688,1817,-4.079,5.353,0.092
0.07,9.130636,1350.939811,1800,-4.097,5.354,0.092
0.07,9.140706,1382.630077,1795,-4.103,5.355,0.092
0.07,9.150548,1414.321033,1790,-4.109,5.356,0.092
0.07,9.160171,1446.009013,1785,-4.114,5.357,0.092
0.07,9.169583,1477.688862,1780,-4.12,5.358,0.092
0.07,9.178799,1509.381421,1776,-4.125,5.359,0.092
0.07,9.187822,1541.068701,1771,-4.13,5.359,0.092
0.07,9.196662,1572.758351,1767,-4.135,5.36,0.091
0.07,9.205326,1604.449307,1763,-4.139,5.361,0.091
0.07,9.213818,1636.130724,1759,-4.144,5.362,0.091
0.07,9.222149,1667.819318,1755,-4.149,5.362,0.091
0.07,9.230324,1699.511079,1752,-4.153,5.363,0.091
0.07,9.238347,1731.19903,1748,-4.157,5.364,0.091
0.07,9.246225,1762.88913,1744,-4.161,5.364,0.091
0.07,9.25396,1794.568333,1741,-4.165,5.365,0.091
0.07,9.261563,1826.261653,1738,-4.169,5.365,0.091
0.07,9.269034,1857.949904,1735,-4.173,5.366,0.091
0.07,9.276379,1889.63968,1732,-4.176,5.366,0.091
0.07,9.283602,1921.330159,1729,-4.18,5.367,0.091
0.07,9.290704,1953.0079,1726,-4.183,5.367,0.091
0.07,9.297695,1984.700595,1723,-4.186,5.368,0.091
0.07,9.304575,2016.392159,1720,-4.19,5.368,0.091
0.07,9.311347,2048.080393,1718,-4.193,5.369,0.091
0.07,9.324583,2111.460688,1713,-4.199,5.37,0.09
0.07,9.331051,2143.142259,1710,-4.201,5.37,0.09
0.07,9.343708,2206.520669,1706,-4.207,5.371,0.09
0.07,9.349901,2238.210867,1703,-4.209,5.371,0.09
0.07,9.362026,2301.579602,1698,-4.215,5.372,0.09
0.07,9.373824,2364.961091,1692,-4.223,5.372,0.09
0.07,9.379605,2396.652122,1688,-4.226,5.373,0.09
0.07,9.390939,2460.022051,1683,-4.233,5.373,0.09
0.07,9.401986,2523.399426,1677,-4.239,5.374,0.09
0.07,9.412759,2586.777055,1673,-4.244,5.374,0.09
0.07,9.42327,2650.147218,1668,-4.249,5.375,0.09
0.07,9.433535,2713.532328,1664,-4.253,5.375,0.09
0.07,9.44356,2776.898462,1661,-4.257,5.375,0.09
0.07,9.453361,2840.278982,1658,-4.261,5.375,0.09
0.07,9.462946,2903.661592,1655,-4.264,5.376,0.09
0.07,9.472322,2967.030427,1652,-4.267,5.376,0.09
0.07,9.481501,3030.407276,1650,-4.27,5.376,0.09
0.07,9.490491,3093.791201,1648,-4.273,5.376,0.09
0.07,9.499297,3157.162967,1646,-4.275,5.377,0.09
0.07,9.512181,3252.228116,1643,-4.278,5.377,0.09
0.07,9.520562,3315.599,1641,-4.28,5.377,0.09
0.07,9.53284,3410.672347,1639,-4.282,5.377,0.09
0.07,9.540835,3474.041483,1638,-4.283,5.377,0.09
0.07,9.55256,3569.11055,1637,-4.285,5.377,0.09
0.07,9.560203,3632.478061,1636,-4.286,5.377,0.09
0.07,9.571423,3727.5459,1634,-4.288,5.378,0.09
0.07,9.58236,3822.610074,1633,-4.289,5.378,0.09
0.07,9.589502,3885.992875,1632,-4.29,5.378,0.09
0.07,9.599998,3981.053372,1632,-4.291,5.378,0.09
0.07,9.610247,4076.120366,1631,-4.292,5.378,0.09
0.07,9.620259,4171.180658,1630,-4.293,5.378,0.09
0.07,9.630046,4266.24704,1630,-4.293,5.378,0.09
0.07,9.639617,4361.310429,1629,-4.294,5.378,0.09
0.07,9.648981,4456.367518,1629,-4.294,5.378,0.09
0.07,9.661162,4583.128141,1628,-4.295,5.378,0.09
0.07,9.670078,4678.191548,1628,-4.295,5.378,0.09
0.07,9.681688,4804.940344,1628,-4.296,5.378,0.09
0.07,9.690197,4900.01038,1627,-4.296,5.378,0.09
0.07,9.701288,5026.758257,1627,-4.296,5.378,0.09
0.07,9.709424,5121.816324,1627,-4.296,5.378,0.09
0.07,9.720042,5248.582161,1627,-4.296,5.378,0.09
0.07,9.730405,5375.328373,1627,-4.297,5.378,0.09
0.07,9.740527,5502.081258,1627,-4.297,5.378,0.09
0.07,9.750418,5628.828283,1627,-4.297,5.378,0.09
0.07,9.76009,5755.591996,1627,-4.297,5.378,0.09
0.07,9.76955,5882.338332,1626,-4.297,5.378,0.09
0.07,9.781093,6040.77973,1626,-4.297,5.378,0.09
0.07,9.790111,6167.526156,1626,-4.297,5.378,0.09
0.07,9.801127,6325.968135,1626,-4.297,5.378,0.09
0.07,9.809743,6452.722669,1626,-4.297,5.378,0.09
0.07,9.820278,6611.165056,1626,-4.297,5.378,0.09
0.07,9.830563,6769.599875,1626,-4.297,5.378,0.09
0.07,9.84061,6928.033835,1626,-4.297,5.378,0.09
0.07,9.850431,7086.487086,1626,-4.297,5.378,0.09
0.07,9.860034,7244.926769,1626,-4.297,5.378,0.09
0.07,9.869429,7403.362248,1626,-4.297,5.378,0.09
0.07,9.880441,7593.482563,1626,-4.297,5.378,0.09
0.07,9.88941,7751.932813,1626,-4.297,5.378,0.09
0.07,9.899933,7942.057006,1626,-4.297,5.378,0.09
0.07,9.910208,8132.199046,1626,-4.297,5.378,0.09
0.07,9.920244,8322.312129,1626,-4.297,5.378,0.09
0.07,9.930055,8512.45835,1626,-4.297,5.378,0.09
0.07,9.939648,8702.579513,1626,-4.297,5.378,0.09
0.07,9.949034,8892.707343,1626,-4.297,5.378,0.09
0.07,9.959734,9114.52415,1626,-4.297,5.378,0.09
0.07,9.970177,9336.347332,1626,-4.297,5.378,0.09
0.07,9.980374,9558.153482,1626,-4.297,5.378,0.09
0.07,9.990338,9779.980751,1626,-4.297,5.378,0.09
0.07,10.000078,10001.79618,1626,-4.297,5.378,0.09
0.072,5.694756,0.49517191,2831,-1.291,3.347,0.942
0.072,5.703149,0.504834469,2832,-1.294,3.352,0.937
0.072,5.711551,0.514696245,2834,-1.298,3.356,0.932
0.072,5.719969,0.524770001,2835,-1.302,3.361,0.927
0.072,5.73687,0.545594521,2839,-1.309,3.371,0.917
0.072,5.745364,0.556370379,2840,-1.313,3.375,0.912
0.072,5.753892,0.567403486,2842,-1.317,3.38,0.907
0.072,5.762465,0.578715348,2844,-1.32,3.385,0.902
0.072,5.771085,0.590316605,2846,-1.324,3.389,0.897
0.072,5.779766,0.602235011,2848,-1.328,3.394,0.892
0.072,5.79734,0.62710462,2851,-1.335,3.404,0.882
0.072,5.806256,0.640112046,2853,-1.338,3.408,0.878
0.072,5.815274,0.653542748,2855,-1.341,3.413,0.873
0.072,5.824412,0.667439646,2858,-1.345,3.418,0.868
0.072,5.833686,0.681845534,2860,-1.348,3.422,0.864
0.072,5.843119,0.696817421,2862,-1.352,3.427,0.859
0.072,5.852735,0.712418191,2864,-1.355,3.431,0.855
0.072,5.862559,0.728717166,2866,-1.358,3.436,0.85
0.072,5.872628,0.745809653,2869,-1.361,3.441,0.846
0.072,5.882979,0.76379885,2871,-1.364,3.445,0.841
0.072,5.893657,0.782811145,2874,-1.367,3.45,0.837
0.072,5.904719,0.803006388,2876,-1.37,3.454,0.832
0.072,5.916237,0.82458798,2879,-1.373,3.459,0.828
0.072,5.928078,0.847379591,2881,-1.376,3.463,0.824
0.072,5.939737,0.870436312,2884,-1.379,3.467,0.82
0.072,5.951212,0.893741656,2886,-1.381,3.471,0.817
0.072,5.9625,0.917275935,2888,-1.383,3.474,0.813
0.072,5.973602,0.941026817,2890,-1.385,3.478,0.81
0.072,5.984516,0.964974862,2892,-1.387,3.481,0.807
0.072,5.995243,0.989106373,2894,-1.389,3.483,0.805
0.072,6.005785,1.013409567,2896,-1.39,3.486,0.803
0.072,6.016143,1.037870099,2897,-1.392,3.488,0.8
0.072,6.026321,1.062480578,2899,-1.393,3.49,0.798
0.072,6.036317,1.087218916,2900,-1.394,3.493,0.796
0.072,6.048014,1.116899252,2901,-1.396,3.495,0.794
0.072,6.061652,1.152529366,2903,-1.397,3.497,0.792
0.072,6.07747,1.195280956,2904,-1.399,3.5,0.79
0.072,6.09572,1.246579556,2905,-1.401,3.502,0.788
0.072,6.116654,1.30813932,2905,-1.404,3.505,0.785
0.072,6.13588,1.36735096,2905,-1.406,3.507,0.783
0.072,6.153614,1.42434108,2905,-1.408,3.51,0.781
0.072,6.17008,1.479380875,2905,-1.41,3.512,0.779
0.072,6.185443,1.532650037,2905,-1.412,3.514,0.777
0.072,6.199837,1.58429846,2906,-1.414,3.515,0.776
0.072,6.213366,1.634428776,2906,-1.416,3.517,0.774
0.072,6.22612,1.683139065,2906,-1.417,3.519,0.773
0.072,6.238172,1.730501579,2906,-1.419,3.521,0.771
0.072,6.249577,1.776548221,2906,-1.421,3.522,0.77
0.072,6.260396,1.821360862,2906,-1.422,3.524,0.768
0.072,6.27067,1.864962055,2906,-1.424,3.526,0.767
0.072,6.280444,1.907409758,2906,-1.425,3.527,0.765
0.072,6.289756,1.948749425,2907,-1.427,3.529,0.764
0.072,6.298635,1.989000993,2907,-1.429,3.531,0.762
0.072,6.307111,2.028201035,2907,-1.43,3.532,0.761
0.072,6.315212,2.066388613,2907,-1.432,3.534,0.759
0.072,6.322961,2.103589527,2907,-1.433,3.536,0.758
0.072,6.330381,2.139838514,2907,-1.435,3.537,0.756
0.072,6.337491,2.175158957,2907,-1.436,3.539,0.755
0.072,6.34431,2.209581372,2907,-1.438,3.541,0.754
0.072,6.350854,2.243127708,2908,-1.44,3.542,0.752
0.072,6.35714,2.275830954,2908,-1.441,3.544,0.751
0.072,6.363181,2.307708767,2908,-1.443,3.545,0.749
0.072,6.368991,2.338788771,2908,-1.444,3.547,0.748
0.072,6.374583,2.369097858,2908,-1.446,3.549,0.747
0.072,6.379967,2.39865065,2908,-1.447,3.55,0.745
0.072,6.385154,2.427470719,2908,-1.449,3.552,0.744
0.072,6.390152,2.455568197,2908,-1.45,3.553,0.743
0.072,6.394975,2.482990169,2908,-1.452,3.555,0.741
0.072,6.399629,2.509741546,2909,-1.453,3.556,0.74
0.072,6.40412,2.535829209,2909,-1.455,3.558,0.739
0.072,6.40846,2.561297349,2909,-1.456,3.559,0.737
0.072,6.412652,2.586139812,2909,-1.458,3.561,0.736
